JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise|RefInterne
20|JOURNAL D' OD|1|20220101|12000000|COMPTE DE RESULTAT|||0000|20220101|Affectation résultat 2021|32819,44|0|||20230512|||E167991
20|JOURNAL D' OD|1|20220101|11000000|REPORT A NOUVEAU|||0000|20220101|Affectation résultat 2021|0|32819,44|||20230512|||E167991
20|JOURNAL D' OD|2|20220101|64600000|PERS COTIS.SOC.PERS.EXPLOITANT|||0000|20220101|EXT CSG CRDS A PAYER|0|8122|AAA||20230512|||E167992
20|JOURNAL D' OD|2|20220101|64600000|PERS COTIS.SOC.PERS.EXPLOITANT|||0000|20220101|EXT SSI A PAYER|0|21299|AAA||20230512|||E167992
20|JOURNAL D' OD|2|20220101|42860000|PERS AUTRES CHARGES A PAYER|||0000|20220101|EXT COTIS SOCIALES A PAYER|29421|0|||20230512|||E167992
20|JOURNAL D' OD|3|20220101|64600000|PERS COTIS.SOC.PERS.EXPLOITANT|||0000|20220101|REIMP|29421|0|AAA||20230512|||E171225
20|JOURNAL D' OD|3|20220101|64115100|COTISATIONS TNS|||0000|20220101|REIMP|0|29421|||20230512|||E171225
40|JOURNAL AN|4|20220101|42860000|PERS AUTRES CHARGES A PAYER|||0000|20220101|A NOUVEAUX 42860000|0|29421|||20230512|||E167922
40|JOURNAL AN|4|20220101|12000000|COMPTE DE RESULTAT|||0000|20220101|A NOUVEAUX RESULTAT EX. BENEFI|0|32819,44|||20230512|||E167922
40|JOURNAL AN|4|20220101|10130000|CAPITAL APPELE VERSE|||0000|20220101|A NOUVEAUX 10130000|0|500|||20230512|||E167922
40|JOURNAL AN|4|20220101|51200000|BOURSORAMA|||0000|20220101|A NOUVEAUX 51200000|71046,31|0|||20230512|||E167922
40|JOURNAL AN|4|20220101|44400000|ETAT IMPOTS S/BENEFICES|||0000|20220101|A NOUVEAUX 44400000|0|5869|||20230512|||E167922
40|JOURNAL AN|4|20220101|45510100|C/C BENJAMIN BINET|||0000|20220101|A NOUVEAUX 45510100|0|2436,87|||20230512|||E167922
AC|Achats|5|20220101|62600000|FRAIS POSTAUX & TELE|||1655603837|20220101|SFR FIBRE|29,5|0|||20230512|||D34897
AC|Achats|5|20220101|45510100|C/C BENJAMIN BINET|||1655603837|20220101|SFR FIBRE|0|29,5|||20230512|||D34897
BQ|BQ|6|20220101|45510100|C/C BENJAMIN BINET|||0000|20220101|BOURSORAMA A nouveau|0|48,7|||20230512|||E169277
BQ|BQ|6|20220101|51200000|BOURSORAMA|||0000|20220101|BOURSORAMA|48,7|0|||20230512|||E169277
OD|Opérations diverses|7|20220101|60640000|FOURNIT.ADMINISTRATIVES|||0000|20220101|Bureau|349|0|||20230512|||D35144
OD|Opérations diverses|7|20220101|45510100|C/C BENJAMIN BINET|||0000|20220101|Bureau|0|349|||20230512|||D35144
OD|Opérations diverses|8|20220101|62570000|RECEPTIONS|||0000|20220101|Café|19,9|0|||20230512|||D35145
OD|Opérations diverses|8|20220101|21840000|MOBILIER|||0000|20220101|Cafetière|659|0|||20230512|||D35145
OD|Opérations diverses|8|20220101|45510100|C/C BENJAMIN BINET|||0000|20220101|Cafetière|0|678,9|||20230512|||D35145
OD|Opérations diverses|9|20220101|60640000|FOURNIT.ADMINISTRATIVES|||0000|20220101|Ecran|220|0|||20230512|||D35147
OD|Opérations diverses|9|20220101|45510100|C/C BENJAMIN BINET|||0000|20220101|PC & écran|0|1520|||20230512|||D35147
OD|Opérations diverses|9|20220101|21830000|MAT.BUREAU &INFORMATIQUE|||0000|20220101|PC|1300|0|||20230512|||D35147
BQ|BQ|10|20220106|51200000|BOURSORAMA|||BQ00000001|20220106|CB Online|0|41,98|||20230512|||D34627
BQ|BQ|10|20220106|61350100|SCALEWAY - ADRESSE IP|||BQ00000001|20220106|CB Online|41,98|0|||20230512|||D34627
BQ|BQ|11|20220107|51200000|BOURSORAMA|||BQ00000002|20220107|Vir Inst Payward Ltd|1118,78|0|||20230512|||D34877
BQ|BQ|11|20220107|70600000|PRESTATIONS DE SERVICES|||BQ00000002|20220107|Vir Inst Payward Ltd|0|1118,78|||20230512|||D34877
AC|Achats|12|20220121|45510100|C/C BENJAMIN BINET|||-001461009|20220121|RED|0|17|||20230512|||D34901
AC|Achats|12|20220121|62610000|TELEPHONE PORTABLE|||-001461009|20220121|RED|17|0|||20230512|||D34901
BQ|BQ|13|20220127|51200000|BOURSORAMA|||BQ00000003|20220127|Vir Inst Payward Ltd|2193,9|0|||20230512|||D34881
